hotel,lead_time,children,country,category
City Hotel,279,0.0,PRT,long
City Hotel,2,0.0,PRT,short
Resort Hotel,54,0.0,ESP,long
City Hotel,9,0.0,FRA,short
City Hotel,64,0.0,BEL,long
City Hotel,594,0.0,PRT,long
City Hotel,23,0.0,NLD,short
Resort Hotel,30,0.0,ESP,short
City Hotel,4,0.0,CZE,short
City Hotel,84,0.0,ITA,long
City Hotel,92,0.0,PRT,long
City Hotel,4,0.0,FRA,short
City Hotel,32,0.0,FRA,short
Resort Hotel,0,0.0,FIN,short
City Hotel,8,0.0,ESP,short
City Hotel,73,0.0,CN,long
City Hotel,184,0.0,PRT,long
City Hotel,85,0.0,PRT,long
Resort Hotel,11,1.0,PRT,short
City Hotel,4,0.0,JPN,short
City Hotel,26,0.0,ITA,short
City Hotel,36,0.0,FRA,short
Resort Hotel,55,0.0,DEU,long
City Hotel,135,0.0,PRT,long
City Hotel,130,0.0,GBR,long
City Hotel,25,0.0,GBR,short
City Hotel,248,0.0,DEU,long
Resort Hotel,92,0.0,PRT,long
City Hotel,233,0.0,PRT,long
City Hotel,131,0.0,PRT,long
City Hotel,183,0.0,FRA,long
City Hotel,355,0.0,PRT,long
City Hotel,0,0.0,PRT,short
City Hotel,61,0.0,DEU,long
City Hotel,96,0.0,PRT,long
City Hotel,150,0.0,NLD,long
City Hotel,181,0.0,FRA,long
City Hotel,6,0.0,RUS,short
City Hotel,39,0.0,DEU,short
City Hotel,19,0.0,DEU,short
City Hotel,286,0.0,PRT,long
City Hotel,37,0.0,PRT,short
City Hotel,102,0.0,DEU,long
City Hotel,280,0.0,PRT,long
City Hotel,1,1.0,ESP,short
City Hotel,59,0.0,PRT,long
Resort Hotel,50,0.0,PRT,short
City Hotel,37,0.0,ITA,short
City Hotel,330,0.0,PRT,long
City Hotel,50,0.0,PRT,short
City Hotel,25,0.0,FRA,short
City Hotel,151,2.0,CHE,long
Resort Hotel,6,0.0,PRT,short
City Hotel,153,0.0,USA,long
City Hotel,70,0.0,PRT,long
City Hotel,62,0.0,GBR,long
City Hotel,104,0.0,FRA,long
City Hotel,83,0.0,PRT,long
City Hotel,69,0.0,CHE,long
City Hotel,5,0.0,PRT,short
City Hotel,77,0.0,PRT,long
Resort Hotel,167,0.0,GBR,long
City Hotel,72,0.0,AUT,long
City Hotel,3,0.0,PRT,short
Resort Hotel,256,2.0,PRT,long
Resort Hotel,109,0.0,PRT,long
City Hotel,4,0.0,ESP,short
City Hotel,13,0.0,FRA,short
Resort Hotel,2,0.0,ESP,short
City Hotel,265,0.0,PRT,long
City Hotel,3,0.0,PRT,short
City Hotel,105,0.0,PRT,long
City Hotel,178,2.0,DNK,long
City Hotel,29,0.0,DEU,short
Resort Hotel,61,0.0,IRL,long
City Hotel,82,0.0,USA,long
Resort Hotel,111,0.0,PRT,long
City Hotel,61,0.0,FRA,long
City Hotel,197,0.0,GBR,long
Resort Hotel,86,0.0,PRT,long
City Hotel,247,0.0,DEU,long
City Hotel,280,0.0,ITA,long
City Hotel,27,0.0,PRT,short
Resort Hotel,41,0.0,IRL,short
City Hotel,78,0.0,PRT,long
Resort Hotel,19,0.0,ESP,short
City Hotel,220,0.0,ITA,long
City Hotel,133,0.0,GBR,long
Resort Hotel,213,0.0,DEU,long
City Hotel,23,0.0,ITA,short
Resort Hotel,238,0.0,PRT,long
City Hotel,39,0.0,GBR,short
City Hotel,195,0.0,PRT,long
City Hotel,47,0.0,ESP,short
City Hotel,58,0.0,PRT,long
City Hotel,49,0.0,PRY,short
Resort Hotel,349,0.0,PRT,long
Resort Hotel,0,0.0,PRT,short
Resort Hotel,3,0.0,DEU,short
Resort Hotel,27,0.0,FRA,short
City Hotel,38,0.0,PRT,short
City Hotel,61,0.0,DEU,long
Resort Hotel,154,0.0,GBR,long
City Hotel,183,2.0,RUS,long
City Hotel,105,0.0,AUT,long
City Hotel,194,0.0,FRA,long
City Hotel,4,0.0,PRT,short
Resort Hotel,1,1.0,ESP,short
City Hotel,6,0.0,PRT,short
Resort Hotel,82,0.0,GBR,long
City Hotel,174,0.0,PRT,long
City Hotel,22,0.0,ITA,short
City Hotel,272,0.0,PRT,long
City Hotel,0,0.0,AGO,short
City Hotel,34,0.0,DEU,short
Resort Hotel,139,0.0,PRT,long
City Hotel,14,0.0,DEU,short
Resort Hotel,237,0.0,RUS,long
City Hotel,46,1.0,AUT,short
City Hotel,86,0.0,DEU,long
City Hotel,265,0.0,PRT,long
City Hotel,52,0.0,ITA,long
Resort Hotel,47,0.0,POL,short
City Hotel,47,0.0,IRL,short
Resort Hotel,2,0.0,ESP,short
Resort Hotel,199,0.0,DEU,long
City Hotel,99,0.0,BRA,long
City Hotel,246,0.0,DEU,long
City Hotel,97,0.0,AUS,long
Resort Hotel,250,1.0,ESP,long
Resort Hotel,106,0.0,PRT,long
City Hotel,4,1.0,PRT,short
Resort Hotel,54,0.0,CN,long
City Hotel,179,2.0,ESP,long
City Hotel,127,0.0,CN,long
Resort Hotel,74,2.0,PRT,long
Resort Hotel,12,0.0,PRT,short
Resort Hotel,21,0.0,PRT,short
Resort Hotel,0,0.0,USA,short
Resort Hotel,80,2.0,PRT,long
Resort Hotel,57,0.0,PRT,long
City Hotel,69,0.0,PRT,long
City Hotel,95,0.0,DEU,long
Resort Hotel,16,0.0,PRT,short
City Hotel,50,0.0,ESP,short
Resort Hotel,2,0.0,PRT,short
City Hotel,23,0.0,RUS,short
Resort Hotel,2,0.0,PRT,short
City Hotel,3,0.0,ISR,short
Resort Hotel,23,0.0,GBR,short
City Hotel,103,0.0,FIN,long
City Hotel,168,0.0,GBR,long
City Hotel,260,1.0,FRA,long
Resort Hotel,99,0.0,PRT,long
City Hotel,192,0.0,PRT,long
City Hotel,273,0.0,PRT,long
Resort Hotel,10,0.0,POL,short
City Hotel,41,2.0,PRT,short
City Hotel,21,0.0,SWE,short
Resort Hotel,6,0.0,PRT,short
Resort Hotel,234,0.0,GBR,long
City Hotel,3,0.0,PRT,short
Resort Hotel,0,0.0,GBR,short
City Hotel,6,0.0,CHN,short
Resort Hotel,5,0.0,GBR,short
City Hotel,6,0.0,PRT,short
Resort Hotel,156,0.0,IRL,long
Resort Hotel,229,0.0,IRL,long
Resort Hotel,134,0.0,PRT,long
City Hotel,0,0.0,PRT,short
City Hotel,8,0.0,FRA,short
Resort Hotel,33,0.0,PRT,short
City Hotel,13,0.0,PRT,short
City Hotel,115,0.0,PRT,long
Resort Hotel,22,2.0,ESP,short
City Hotel,63,2.0,FRA,long
Resort Hotel,9,0.0,PRT,short
City Hotel,462,0.0,PRT,long
Resort Hotel,8,0.0,ESP,short
City Hotel,330,0.0,PRT,long
City Hotel,212,0.0,GBR,long
Resort Hotel,109,0.0,GBR,long
City Hotel,86,0.0,CHE,long
City Hotel,79,0.0,FRA,long
City Hotel,221,0.0,PRT,long
Resort Hotel,256,0.0,PRT,long
City Hotel,9,0.0,ESP,short
Resort Hotel,207,0.0,PRT,long
Resort Hotel,147,0.0,PRT,long
Resort Hotel,10,0.0,GBR,short
Resort Hotel,32,0.0,PRT,short
Resort Hotel,88,0.0,FIN,long
Resort Hotel,11,0.0,PRT,short
City Hotel,320,0.0,DEU,long
City Hotel,153,0.0,PRT,long
Resort Hotel,107,0.0,PRT,long
City Hotel,177,0.0,IRL,long
City Hotel,20,0.0,ESP,short
Resort Hotel,12,0.0,LTU,short
Resort Hotel,19,1.0,IRL,short
Resort Hotel,44,0.0,PRT,short
City Hotel,80,0.0,PRT,long
City Hotel,285,0.0,PRT,long
Resort Hotel,2,0.0,ESP,short
Resort Hotel,40,0.0,PRT,short
City Hotel,18,2.0,PRT,short
Resort Hotel,5,0.0,GBR,short
Resort Hotel,100,0.0,ESP,long
City Hotel,37,0.0,PRT,short
City Hotel,20,0.0,PRT,short
City Hotel,262,0.0,CHE,long
City Hotel,78,0.0,HUN,long
Resort Hotel,342,0.0,IRL,long
Resort Hotel,32,0.0,CHE,short
Resort Hotel,53,0.0,IRL,long
City Hotel,55,0.0,ESP,long
City Hotel,5,2.0,PRT,short
City Hotel,342,0.0,PRT,long
City Hotel,77,0.0,FRA,long
City Hotel,41,0.0,GBR,short
City Hotel,68,0.0,GBR,long
City Hotel,50,0.0,FRA,short
Resort Hotel,22,0.0,PRT,short
Resort Hotel,91,1.0,MOZ,long
City Hotel,42,0.0,GBR,short
Resort Hotel,5,0.0,GBR,short
City Hotel,6,0.0,NLD,short
City Hotel,50,0.0,TUR,short
City Hotel,177,0.0,FRA,long
City Hotel,24,0.0,PRT,short
Resort Hotel,31,0.0,GBR,short
City Hotel,30,0.0,GBR,short
Resort Hotel,3,0.0,ESP,short
City Hotel,150,1.0,BRA,long
City Hotel,159,1.0,PRT,long
Resort Hotel,287,0.0,GBR,long
City Hotel,0,0.0,PRT,short
Resort Hotel,73,0.0,PRT,long
City Hotel,39,0.0,ITA,short
City Hotel,32,0.0,PRT,short
Resort Hotel,121,0.0,PRT,long
City Hotel,147,1.0,GBR,long
City Hotel,152,0.0,DEU,long
City Hotel,111,0.0,ITA,long
Resort Hotel,152,0.0,PRT,long
Resort Hotel,13,0.0,PRT,short
City Hotel,42,2.0,SWE,short
Resort Hotel,94,0.0,PRT,long
City Hotel,9,0.0,BRA,short
Resort Hotel,237,0.0,ITA,long
City Hotel,165,0.0,PRT,long
City Hotel,31,0.0,PRT,short
Resort Hotel,287,0.0,GBR,long
Resort Hotel,2,0.0,PRT,short
City Hotel,54,0.0,POL,long
Resort Hotel,0,1.0,PRT,short
City Hotel,14,0.0,FRA,short
City Hotel,320,0.0,PRT,long
Resort Hotel,0,0.0,PRT,short
City Hotel,34,0.0,ESP,short
City Hotel,135,1.0,PRT,long
City Hotel,327,0.0,PRT,long
City Hotel,184,0.0,BEL,long
City Hotel,451,0.0,PRT,long
City Hotel,56,0.0,PRT,long
Resort Hotel,14,0.0,ESP,short
Resort Hotel,0,0.0,AUT,short
City Hotel,6,0.0,SWE,short
City Hotel,2,0.0,PRT,short
City Hotel,159,0.0,FRA,long
City Hotel,20,0.0,PRT,short
Resort Hotel,83,0.0,GBR,long
City Hotel,92,0.0,GBR,long
Resort Hotel,0,0.0,ESP,short
City Hotel,195,0.0,NOR,long
City Hotel,279,0.0,PRT,long
Resort Hotel,21,0.0,ESP,short
Resort Hotel,253,0.0,ESP,long
Resort Hotel,152,0.0,GBR,long
City Hotel,59,0.0,NLD,long
City Hotel,41,0.0,AUT,short
City Hotel,104,0.0,FRA,long
City Hotel,102,0.0,PRT,long
City Hotel,65,0.0,FRA,long
City Hotel,98,0.0,ITA,long
Resort Hotel,103,0.0,PRT,long
City Hotel,159,0.0,FRA,long
Resort Hotel,13,0.0,FRA,short
City Hotel,117,0.0,CHE,long
City Hotel,155,0.0,ESP,long
Resort Hotel,134,0.0,PRT,long
Resort Hotel,52,0.0,PRT,long
Resort Hotel,28,2.0,AUS,short
City Hotel,68,0.0,DEU,long
Resort Hotel,208,0.0,GBR,long
Resort Hotel,18,0.0,GBR,short
City Hotel,4,0.0,PRT,short
City Hotel,50,0.0,PRT,short
City Hotel,56,0.0,ITA,long
City Hotel,70,0.0,ESP,long
City Hotel,102,0.0,FRA,long
City Hotel,5,0.0,DEU,short
City Hotel,91,0.0,CN,long
Resort Hotel,0,0.0,IRL,short
City Hotel,39,2.0,DNK,short
City Hotel,6,0.0,GBR,short
City Hotel,19,0.0,PRT,short
Resort Hotel,5,0.0,USA,short
City Hotel,187,0.0,FRA,long
City Hotel,191,0.0,FRA,long
City Hotel,157,0.0,IRL,long
City Hotel,172,0.0,ITA,long
Resort Hotel,12,0.0,PRT,short
City Hotel,0,0.0,PRT,short
Resort Hotel,9,0.0,GBR,short
City Hotel,288,0.0,PRT,long
City Hotel,8,0.0,PRT,short
City Hotel,63,0.0,PRT,long
Resort Hotel,54,0.0,PRT,long
City Hotel,198,0.0,PRT,long
City Hotel,27,0.0,BEL,short
Resort Hotel,25,0.0,BEL,short
City Hotel,46,0.0,CHE,short
City Hotel,188,0.0,ISR,long
Resort Hotel,3,0.0,ESP,short
City Hotel,169,0.0,HUN,long
City Hotel,1,0.0,ESP,short
City Hotel,70,0.0,QAT,long
City Hotel,144,0.0,AUT,long
Resort Hotel,21,0.0,DEU,short
City Hotel,395,0.0,AUS,long
City Hotel,59,0.0,PRT,long
City Hotel,176,0.0,BEL,long
City Hotel,99,0.0,PRT,long
City Hotel,96,2.0,GBR,long
City Hotel,16,0.0,PRT,short
City Hotel,93,0.0,PRT,long
City Hotel,207,0.0,ESP,long
City Hotel,56,0.0,PRT,long
Resort Hotel,244,0.0,GBR,long
City Hotel,50,0.0,BRA,short
Resort Hotel,251,0.0,CN,long
City Hotel,10,0.0,GBR,short
City Hotel,125,0.0,IRL,long
Resort Hotel,468,0.0,PRT,long
City Hotel,14,0.0,PRT,short
Resort Hotel,112,0.0,BRA,long
City Hotel,245,0.0,PRT,long
City Hotel,82,0.0,USA,long
City Hotel,40,0.0,FRA,short
City Hotel,40,0.0,CHE,short
Resort Hotel,542,0.0,GBR,long
City Hotel,15,0.0,ITA,short
City Hotel,21,0.0,CN,short
Resort Hotel,385,0.0,PRT,long
City Hotel,51,0.0,PRT,long
City Hotel,146,0.0,PRT,long
City Hotel,2,0.0,GBR,short
Resort Hotel,19,0.0,ESP,short
City Hotel,4,0.0,GBR,short
City Hotel,4,0.0,PRT,short
City Hotel,59,0.0,ITA,long
City Hotel,2,1.0,PRT,short
Resort Hotel,140,0.0,IRL,long
Resort Hotel,37,0.0,PRT,short
City Hotel,37,0.0,PRT,short
City Hotel,12,0.0,CHE,short
City Hotel,7,0.0,ESP,short
Resort Hotel,104,0.0,GBR,long
Resort Hotel,196,0.0,PRT,long
City Hotel,0,0.0,PRT,short
City Hotel,10,0.0,ESP,short
City Hotel,98,0.0,FRA,long
City Hotel,16,0.0,DEU,short
Resort Hotel,4,0.0,PRT,short
City Hotel,22,0.0,FRA,short
City Hotel,85,0.0,SWE,long
City Hotel,301,0.0,DEU,long
City Hotel,95,0.0,PRT,long
Resort Hotel,364,0.0,GBR,long
City Hotel,164,0.0,PRT,long
City Hotel,42,0.0,CN,short
Resort Hotel,203,0.0,GBR,long
City Hotel,56,0.0,FRA,long
Resort Hotel,0,1.0,PRT,short
Resort Hotel,18,2.0,USA,short
City Hotel,129,0.0,PRT,long
City Hotel,9,0.0,FRA,short
City Hotel,304,0.0,PRT,long
Resort Hotel,0,0.0,,short
Resort Hotel,260,0.0,PRT,long
Resort Hotel,96,0.0,GBR,long
Resort Hotel,172,0.0,PRT,long
City Hotel,39,0.0,DEU,short
City Hotel,65,1.0,PRT,long
City Hotel,0,0.0,PRT,short
Resort Hotel,126,0.0,DEU,long
City Hotel,68,0.0,PRT,long
City Hotel,27,2.0,BRA,short
Resort Hotel,44,0.0,ESP,short
Resort Hotel,157,0.0,GBR,long
City Hotel,19,0.0,PRT,short
City Hotel,0,0.0,PRT,short
Resort Hotel,61,0.0,IRL,long
City Hotel,172,0.0,DEU,long
City Hotel,199,0.0,PRT,long
City Hotel,267,0.0,PRT,long
City Hotel,39,0.0,ESP,short
Resort Hotel,26,0.0,PRT,short
Resort Hotel,82,0.0,PRT,long
City Hotel,350,0.0,PRT,long
City Hotel,82,0.0,DEU,long
City Hotel,84,0.0,FRA,long
City Hotel,0,0.0,ITA,short
Resort Hotel,191,0.0,PRT,long
Resort Hotel,272,0.0,FRA,long
City Hotel,49,0.0,FRA,short
City Hotel,364,0.0,PRT,long
City Hotel,300,0.0,PRT,long
City Hotel,78,0.0,AUS,long
City Hotel,50,0.0,GBR,short
City Hotel,67,0.0,NOR,long
City Hotel,39,0.0,NLD,short
City Hotel,8,0.0,PRT,short
City Hotel,32,0.0,IRL,short
Resort Hotel,7,0.0,GBR,short
Resort Hotel,96,0.0,DEU,long
City Hotel,1,0.0,USA,short
City Hotel,42,0.0,BRA,short
City Hotel,36,0.0,PRT,short
City Hotel,0,0.0,DEU,short
Resort Hotel,317,0.0,GBR,long
City Hotel,12,0.0,PRT,short
City Hotel,87,0.0,DEU,long
Resort Hotel,67,2.0,GBR,long
City Hotel,34,0.0,FRA,short
City Hotel,176,0.0,FRA,long
City Hotel,6,0.0,LUX,short
City Hotel,6,0.0,DEU,short
City Hotel,221,0.0,PRT,long
City Hotel,104,0.0,PRT,long
City Hotel,56,0.0,PRT,long
City Hotel,0,0.0,ESP,short
Resort Hotel,243,0.0,IRL,long
Resort Hotel,35,1.0,PRT,short
Resort Hotel,4,0.0,PRT,short
City Hotel,1,0.0,PRT,short
City Hotel,65,0.0,NOR,long
City Hotel,9,0.0,NLD,short
Resort Hotel,153,1.0,PRT,long
City Hotel,132,0.0,CHE,long
City Hotel,104,0.0,BRA,long
Resort Hotel,41,0.0,PRT,short
City Hotel,14,0.0,KOR,short
City Hotel,178,0.0,PRT,long
Resort Hotel,77,0.0,PRT,long
City Hotel,0,0.0,PRT,short
City Hotel,36,0.0,DEU,short
Resort Hotel,83,0.0,DEU,long
City Hotel,3,0.0,PRT,short
Resort Hotel,96,0.0,PRT,long
Resort Hotel,22,0.0,PRT,short
City Hotel,40,0.0,NLD,short
City Hotel,437,0.0,PRT,long
City Hotel,66,0.0,IND,long
City Hotel,323,0.0,PRT,long
Resort Hotel,31,0.0,GIB,short
City Hotel,89,0.0,PRT,long
City Hotel,17,0.0,PRT,short
Resort Hotel,89,0.0,PRT,long
City Hotel,41,0.0,FRA,short
City Hotel,88,0.0,ITA,long
City Hotel,56,0.0,ESP,long
City Hotel,225,0.0,GBR,long
City Hotel,1,0.0,AGO,short
Resort Hotel,0,0.0,PRT,short
Resort Hotel,209,2.0,PRT,long
Resort Hotel,0,0.0,PRT,short
City Hotel,96,0.0,IRL,long
City Hotel,113,0.0,FRA,long
City Hotel,32,0.0,BEL,short
City Hotel,326,0.0,PRT,long
City Hotel,405,0.0,PRT,long
City Hotel,6,0.0,FRA,short
City Hotel,396,0.0,PRT,long
Resort Hotel,128,0.0,IRL,long
City Hotel,4,0.0,PRT,short
City Hotel,111,0.0,ISR,long
Resort Hotel,233,0.0,IRL,long
Resort Hotel,0,0.0,ESP,short
City Hotel,8,0.0,AUS,short
City Hotel,206,0.0,DEU,long
City Hotel,48,0.0,GBR,short
City Hotel,19,0.0,CHE,short
